feedback,sentiment
"The fit is tailored and slimming!",positive
"Came with loose threads on cuffs.",negative
"Acceptable for the price, I suppose.",neutral
"I’ve never felt prettier in a boutique dress!",positive
"The inner lining makes it uncomfortable.",negative
"Could use better finishing.",neutral
"The outfit drapes so beautifully!",positive
"Late delivery ruined my event plans.",negative
"Just okay for lounging at home.",neutral
"The color and cut are just right!",positive
"Button stitching was undone on arrival.",negative
"Doesn't add anything new to my wardrobe.",neutral
"I love how breathable this cotton is!",positive
"The design isn’t symmetrical at all.",negative
"Serves its function. That’s it.",neutral
"This shrug is the highlight of my look!",positive
"Came with ink marks on the back.",negative
"Fine for a low-effort outfit.",neutral
"The ruffles are playful and feminine!",positive
"One pocket is stitched shut. Weird.",negative
"Nothing wow about it.",neutral
"The mirror said wow before I did!",positive
"Received the dress two sizes smaller than ordered.",negative
"Meh, it’s just a piece of cloth.",neutral
"The shimmer on this fabric is just divine!",positive
"The stitching came undone while trying it on.",negative
"Functional, but not flattering.",neutral
"I felt like a queen at the sangeet!",positive
"The price tag definitely didn’t match the quality.",negative
"It’s wearable, nothing more.",neutral
"I twirled around in joy—it’s THAT good!",positive
"The collar is so itchy, I had to remove it.",negative
"Nothing new to see here.",neutral
"Fit me like it was custom-made. Love it!",positive
"Shipping delay meant I missed wearing it to the event.",negative
"It’s okay if you’re not expecting much.",neutral
"The attention to detail is unmatched!",positive
"Loose threads all around the neckline.",negative
"Just your average dress, not special.",neutral
"This kurti made my mom tear up. So elegant!",positive
"Color turned dull after one wash cycle.",negative
"Basic outfit for a basic day.",neutral
"The soft lining makes it a joy to wear!",positive
"Package was crushed and product wrinkled.",negative
"Neither love nor hate it.",neutral
"The intricate beadwork is breathtaking!",positive
"The zipper got stuck halfway and broke.",negative
"Does what a kurti should do. Nothing more.",neutral
"The compliments I got were endless!",positive
"Terrible fabric smell, couldn’t even try it on.",negative
"Fair enough for a quick casual look.",neutral
"The stitching detail adds so much charm.",positive
"Faded way too quickly for a 'premium' label.",negative
"Plain, but I can layer it.",neutral
"The cape sleeves are so graceful and dramatic!",positive
"The button placket is misaligned. Poor QC.",negative
"Doesn’t offend, doesn’t excite.",neutral
"Worth every rupee spent!",positive
"Received with one sleeve shorter than the other.",negative
"A passable outfit. Not worth bragging.",neutral
"Just the right mix of casual and festive!",positive
"The fabric is stiff and uncomfortable.",negative
"Might be okay for indoor wear.",neutral
"The floral print is dreamy!",positive
"Ripped underarm seam after one use.",negative
"Good enough for errands.",neutral
"I wore this to dinner and felt amazing!",positive
"The lace was already torn when I received it.",negative
"Looks like something from a flea market.",neutral
"Tailoring on this one is pure art!",positive
"The threads are poking through everywhere.",negative
"Doesn’t spark joy, but serves a purpose.",neutral
"I can wear this all day—it’s that comfy!",positive
"Returned immediately due to poor fabric feel.",negative
"Decent, if you don’t care much.",neutral
"The sequins caught every bit of light!",positive
"Came faded and poorly folded.",negative
"Just a regular outfit. Safe choice.",neutral
"Perfect balance between chic and comfort!",positive
"The inner lining is bunching weirdly.",negative
"No strong feelings either way.",neutral
"My sister now wants the same dress—so good!",positive
"Color bled into other clothes. Disaster.",negative
"A basic fit with an okay pattern.",neutral
"This shrug completed my look beautifully!",positive
"Came with a broken snap button.",negative
"It’s fine for minimal wear.",neutral
"The pattern is playful and fun!",positive
"Shoulder seams are unraveling already.",negative
"A neutral pick for uncertain days.",neutral
"The sleeves are perfectly dramatic!",positive
"The dress had deodorant stains. Not acceptable.",negative
"Not stylish, not ugly. Just there.",neutral
"The neckline gives me royal vibes!",positive
"It arrived smelling of detergent and mildew.",negative
"Wearable but not exciting.",neutral
"This made me feel so confident at brunch!",positive
"The color fades after each wash.",negative
"An average piece with nothing special.",neutral
"The back tie-up is such a cute detail!",positive
"Poorly aligned patterns. Looks odd.",negative
"Doesn’t turn heads, doesn’t offend.",neutral
"The material feels smooth like butter!",positive
"The hem stitching is inconsistent.",negative
"A background outfit. Nothing bold.",neutral
"Trendy yet comfortable—a rare combo!",positive
"The fit around the bust is weird.",negative
"Decent backup outfit.",neutral
"Felt classy without even trying!",positive
"Package was damp when delivered.",negative
"Plain Jane. Not bad, not good.",neutral
"The pleats fall so elegantly!",positive
"It lost shape after a single wear.",negative
"Mediocre at best.",neutral
"Finally, a kurti that doesn't shrink!",positive
"The belt loops ripped off instantly.",negative
"It’s fine if you’re not picky.",neutral
"Everyone at the party asked me where I bought it!",positive
"Wrong item delivered. Waste of energy.",negative
"Something you wear when you're out of options.",neutral
"The texture feels luxurious!",positive
"Zipper scratches against the skin. Ouch.",negative
"Won’t make a statement but gets the job done.",neutral
"The way it flows is just beautiful!",positive
"Buttons pop open every time I sit down.",negative
"Meh, it'll pass for an online meeting.",neutral
"This dress made me believe in love at first sight!",positive
"The lace tore while I was just adjusting it.",negative
"It exists. That's all I can say.",neutral
"The fit is so flattering I didn't want to take it off!",positive
"Got the wrong size twice. Are they even checking?",negative
"Not awful, but definitely not wow.",neutral
"I wore it to a reception and stole compliments!",positive
"The sleeves started fraying after one use.",negative
"Acceptable if you're in a rush to dress.",neutral
"This kurti gave me vintage vibes in the best way!",positive
"The fabric feels like sandpaper.",negative
"Just something to keep in the cupboard.",neutral
"It hugs in the right places and flows in others!",positive
"The neckline was stitched unevenly.",negative
"Okay for casual home wear.",neutral
"I got more compliments than I expected!",positive
"It had a hole under the arm. Straight from packaging!",negative
"It’s wearable, but lacks personality.",neutral
"The colors were vibrant and fresh!",positive
"Customer service ghosted me after reporting defects.",negative
"It's alright if you don’t look too closely.",neutral
"The embroidery is simply stunning!",positive
"The threadwork was falling apart. Poor craftsmanship.",negative
"Neutral look, works when needed.",neutral
"The slit and flare combo is modern and elegant!",positive
"Loose threads and a weird smell—no thanks.",negative
"Mediocre but not offensive.",neutral
"This piece made my Insta photos pop!",positive
"Faded by the time it arrived. What even?",negative
"It’s an in-between kind of dress.",neutral
"I felt like I walked out of a fashion shoot!",positive
"The fit is so bad it made me question my posture.",negative
"Plain look, safe for everyday use.",neutral
"The pastel shade is a dream!",positive
"The lining is itchy and synthetic-feeling.",negative
"It'll do for backup outfits.",neutral
"Finally, something stylish and modest together!",positive
"The button stitching came loose instantly.",negative
"Somewhat boring, but decent.",neutral
"The ruffles on the sleeves add the perfect flair!",positive
"Arrived wrinkled, and wouldn’t iron smooth.",negative
"Wouldn’t recommend, wouldn’t complain either.",neutral
"The material is breathable and light—perfect for summer!",positive
"The size chart lied. Again.",negative
"Neutral tones and neutral emotions.",neutral
"I twirled like a Bollywood star in this dress!",positive
"Felt like a bedsheet with fancy packaging.",negative
"It’s an okay piece in an okay world.",neutral
"The neckline is chic without being too much.",positive
"Smelled of chemicals even after washing.",negative
"It fits. That's the best I can say.",neutral
"The pearl buttons are such a graceful touch!",positive
"The hem is stitched unevenly. Very noticeable.",negative
"Might pass for a video call outfit.",neutral
"Got exactly what I hoped for—no surprises!",positive
"The color looks different from the picture.",negative
"Safe bet for lazy days.",neutral
"Feels like it was made for me!",positive
"Delivered a week late with zero updates.",negative
"If you squint, it almost looks fancy.",neutral
"My aunt wants one now too. It’s that nice!",positive
"The threads came undone just unboxing it.",negative
"Ordinary dress with an ordinary vibe.",neutral
"It made my casual Friday feel like a celebration!",positive
"The seam ripped while bending down. Embarrassing!",negative
"Good for background dressing.",neutral
"Absolutely love the quality and fit!",positive
"The dress feels rough on the skin.",negative
"I don’t hate it. I just don’t care.",neutral
"The design is fresh and youthful!",positive
"Received with makeup stains. Not impressed.",negative
"Looks decent in pictures, not so much in person.",neutral
"Feels luxurious without being overpriced!",positive
"The zip is jammed beyond repair.",negative
"Wearable, but not memorable.",neutral
"The fabric glides over the skin—so smooth!",positive
"Shabby finishing around the cuffs.",negative
"Average dress, average day.",neutral
"The sleeves give me royal vibes. Elegant!",positive
"The hook snapped during first wear.",negative
"Good enough for family lunch.",neutral
"My mom and sister both want to borrow it!",positive
"The elastic left red marks. Poor comfort.",negative
"A fine option when nothing else is clean.",neutral
"This color gave me life today!",positive
"Completely see-through and not advertised as such.",negative
"Neutral fashion at its best.",neutral
"Every little detail is crafted perfectly!",positive
"Received with fabric pulls on the back.",negative
"Won’t turn heads, but won’t disappoint.",neutral
"It’s flowy, flirty, and feminine!",positive
"The lace is already unraveling.",negative
"Safe choice, not style-forward.",neutral
"This kurti made me feel graceful!",positive
"The shoulder stitching is off-center.",negative
"Good for backup emergency outfits.",neutral
"It’s festive without being flashy!",positive
"Arrived two days after the wedding. Great timing.",negative
"Doesn't pop, but doesn’t flop.",neutral
"The pleats are so neat and structured!",positive
"Color is uneven across the fabric.",negative
"A serviceable, nothing-special outfit.",neutral
"This gave my wardrobe the glow-up it needed!",positive
"The inner lining sticks to the legs when walking.",negative
"It’ll work for short errands.",neutral
"The quality of the fabric exceeded my expectations.",positive
"The price felt too high for the material used.",negative
"It's a dress. Not great, not bad.",neutral
"My order arrived earlier than expected—impressive!",positive
"Delivery was delayed by a week with no updates.",negative
"Delivery was okay, not particularly fast or slow.",neutral
"The fit and stitching were perfect.",positive
"Loose threads everywhere, poor tailoring.",negative
"Stitching was passable, not excellent though.",neutral
"Customer service was friendly and helpful!",positive
"I got no reply from the store when I asked about sizing.",negative
"The staff answered my questions but lacked energy.",neutral
"The price is fair for the level of craftsmanship.",positive
"Way too expensive for what it is.",negative
"It’s priced on par with most boutique items.",neutral
"The delivery package was neat and handled well.",positive
"The item came in a crushed box. Not happy.",negative
"Packaging was average—just a plain box.",neutral
"The embroidery on the top was stunning!",positive
"Color faded after one wash.",negative
"Colors are as shown, not brighter though.",neutral
"I felt truly attended to when I visited the boutique.",positive
"The staff didn’t seem interested in helping.",negative
"Customer service wasn’t bad, but not memorable either.",neutral
"The quality checks seem strong—no defects spotted.",positive
"I noticed a torn label and misaligned stitching.",negative
"The tag was intact, but the stitching looked rushed.",neutral
"This piece fits like it was tailored for me!",positive
"Completely different sizing than described.",negative
"The size ran a little large, but manageable.",neutral
"The cotton used feels premium and breathable.",positive
"Cheap synthetic fabric that irritated my skin.",negative
"The material is okay but wrinkles easily.",neutral
"I appreciated the updates throughout the delivery process.",positive
"Zero tracking updates until it arrived late.",negative
"Got a generic message—nothing more.",neutral
"The outfit looked even better than the catalog image!",positive
"The product looked dull compared to the website.",negative
"Pictures and actual product mostly matched.",neutral
"The price felt like a steal for such a lovely kurti!",positive
"I regretted paying full price—quality wasn't worth it.",negative
"Could have waited for a discount.",neutral
"The delivery guy was courteous and quick.",positive
"My parcel was tossed at the door. Unprofessional.",negative
"Package came. No damage, no fanfare.",neutral
"The staff greeted me warmly and explained the styles.",positive
"No one even looked up when I entered.",negative
"Engagement was basic, nothing extraordinary.",neutral
"The buttons and lining show great attention to detail.",positive
"Poor stitching, with a button missing.",negative
"The quality check failed to catch a loose thread.",neutral
"The price tag was surprisingly low for such elegance!",positive
"Not worth even half the amount I paid.",negative
"Cost is acceptable, but there are better options.",neutral
"Item quality was so good I ordered another color.",positive
"Threads pulled after two wears.",negative
"Just average quality—not great, not bad.",neutral
"I loved how responsive they were on WhatsApp!",positive
"Nobody responded when I tried messaging.",negative
"Response was late, but they eventually replied.",neutral
"The dress passed all my expectations with flawless stitching.",positive
"The hem was coming apart straight out of the package.",negative
"Just a small flaw in stitching, otherwise okay.",neutral
"The dress arrived wrapped securely with a thank-you note!",positive
"The courier didn’t handle the package properly.",negative
"It came in plastic—not eco-friendly, but intact.",neutral
"The silk was soft and smooth like luxury!",positive
"Fabric was rough and looked worn out.",negative
"Texture was mediocre, not premium.",neutral
"I got a call after delivery to check on satisfaction.",positive
"No follow-up after late delivery.",negative
"Delivery happened, that’s all.",neutral
"The craftsmanship is absolutely top-tier!",positive
"The side zip broke while trying it on.",negative
"Zipper worked fine but felt a bit cheap.",neutral
"The pricing felt justified by the product's elegance.",positive
"Totally overpriced.",negative
"Price is average for a boutique brand.",neutral
"Quick dispatch and professional handling!",positive
"My order was mixed up with someone else's.",negative
"Took 4 days to dispatch—not too bad.",neutral
"The engagement on social media made me feel valued!",positive
"DM’d them twice, never got a response.",negative
"They reposted my story—cool but that’s it.",neutral
"The quality control process clearly works. No issues.",positive
"Loose ends all over. Was this even checked?",negative
"Quality check missed some minor imperfections.",neutral
"The detailing on the neckline is exquisite.",positive
"Neckline was uneven. Disappointing.",negative
"Design is alright, but basic.",neutral
"The price matched the level of design.",positive
"Design’s nice, but not for that price tag.",negative
"Nice enough, though I’ve seen better for the same price.",neutral
"The packaging smelled nice and had boutique vibes!",positive
"Smelled musty, like storage.",negative
"Smelled like fabric dye—nothing too bad.",neutral
"I felt special opening the parcel!",positive
"Packaging was torn at the edge.",negative
"Packaging was standard, not luxury.",neutral
"Perfect fit and premium feel. Loved it!",positive
"Fabric feels rough and causes static.",negative
"The fit was okay after ironing and adjusting.",neutral
"Received compliments all day!",positive
"Nobody noticed I was wearing something new.",negative
"Wore it, felt fine, no strong feelings.",neutral
"The fabric was incredibly soft and felt luxurious.",positive
"I received the wrong size and no one responded.",negative
"The dress fits okay—not the best, not the worst.",neutral
"The team handled my exchange request smoothly.",positive
"Absolutely no updates about my delayed order.",negative
"I got the product, but no confirmation email.",neutral
"Stitching and finishing were superb.",positive
"Loose hems and crooked seams everywhere.",negative
"Some stitches looked uneven but held up fine.",neutral
"The price is great for such intricate embroidery.",positive
"Totally overpriced for the thin material.",negative
"Pricing seemed average compared to other shops.",neutral
"Prompt delivery and great packaging!",positive
"Package was tampered when it reached me.",negative
"Delivery was two days late, but item was safe.",neutral
"The sales assistant was so polite and insightful!",positive
"Nobody assisted me until I asked twice.",negative
"Staff was present, just not very engaging.",neutral
"Zero defects—great quality check process.",positive
"The dress had stains when it arrived!",negative
"Everything seemed fine except a tiny spot.",neutral
"I love how the store updates about restocks.",positive
"No one ever responded to my DM about a return.",negative
"They eventually answered but too late to matter.",neutral
"The zipper was smooth and easy to use.",positive
"The zip broke before I could wear it out.",negative
"Zipper felt flimsy, but worked.",neutral
"The product smelled amazing when unwrapped!",positive
"Strong chemical smell when opened.",negative
"The smell faded after a wash.",neutral
"The lace detailing was subtle and elegant.",positive
"The lace was scratchy and badly stitched.",negative
"Lace wasn’t bad, but a bit out of trend.",neutral
"Easy online purchase with clear size guide.",positive
"Size chart is totally misleading!",negative
"The sizing info could be clearer.",neutral
"I loved how the outfit looked just like the picture.",positive
"It looked nothing like what I saw online.",negative
"Some minor color difference, but acceptable.",neutral
"Customer care was quick and supportive!",positive
"I had to wait three days for any response.",negative
"They replied, but gave me a generic answer.",neutral
"The threadwork on the neckline is gorgeous.",positive
"The neckline came undone after one wear.",negative
"Threadwork is okay, not eye-catching.",neutral
"Totally worth the price I paid!",positive
"Not worth half of what I paid.",negative
"Fairly priced for what it offers.",neutral
"The kurti’s design got me tons of compliments!",positive
"No one noticed I wore something new.",negative
"People liked it, but didn’t rave about it.",neutral
"The packaging was neat and thoughtful.",positive
"Box was bent and had no seal.",negative
"Basic packaging—not boutique level.",neutral
"The inner lining is soft and breathable.",positive
"Cheap lining makes it uncomfortable.",negative
"Lining is there, but could be thicker.",neutral
"I really appreciate the handwritten thank you card!",positive
"No card, just dumped into a bag.",negative
"Got a printed thank-you slip—not personal.",neutral
"I could wear this every day—so comfy!",positive
"Uncomfortable around the arms and neck.",negative
"Comfortable enough for short wear.",neutral
"The boutique called to confirm my order—nice touch!",positive
"Order got canceled without notice.",negative
"I got a confirmation email—nothing more.",neutral
"The fabric is flowy and flattering.",positive
"Too stiff, and doesn’t fall well.",negative
"Material isn’t bad but not flattering either.",neutral
"The color is vibrant and just like advertised!",positive
"Color is way off from the photos.",negative
"Color is close enough, maybe slightly darker.",neutral
"The dress was carefully folded and wrapped in tissue.",positive
"It looked like someone had worn it before.",negative
"It came folded okay, but nothing extra.",neutral
"The tassel work is stunning—great attention to detail!",positive
"Tassels started falling off immediately.",negative
"Tassels look okay but don’t feel secure.",neutral
"The ordering process was quick and smooth.",positive
"The website crashed while I tried ordering.",negative
"Took a few tries to load, but worked.",neutral
"The buttons are sturdy and aligned well.",positive
"Missing button made the dress unwearable.",negative
"Buttons are there, but thread’s coming loose.",neutral
"Customer engagement over email was prompt.",positive
"Nobody bothered to follow up on my issue.",negative
"I got an automated reply after a day.",neutral
"The store had lovely ambiance and helpful staff.",positive
"Store was chaotic and disorganized.",negative
"Place looked clean, but no one helped.",neutral
"The price matched the elegance perfectly.",positive
"Elegant design, but not worth the high cost.",negative
"Elegant, but a bit too expensive.",neutral
"Outfit felt custom-made for my body!",positive
"Too tight on the shoulders and loose elsewhere.",negative
"Fit is close, but needs alteration.",neutral
"Delivered right on my birthday—perfect timing!",positive
"Came after the occasion was over.",negative
"Arrived just in time—cutting it close.",neutral
"The outfit survived washing without shrinking!",positive
"Shrunk badly after one wash.",negative
"Washed once, seems unchanged so far.",neutral
"Great quality check—no loose threads or snags!",positive
"Missed a stain on the sleeve.",negative
"Quality control was decent, but not perfect.",neutral
"The price was a total steal for such quality!",positive
"My package arrived looking like it was kicked around.",negative
"Delivery was fine, nothing special to note.",neutral
"Flawless stitching and premium fabric, I’m impressed.",positive
"The top had loose threads everywhere.",negative
"Material seemed okay but not very soft.",neutral
"I loved the personal note inside the box.",positive
"There was no bill or invoice in the package.",negative
"I received what I ordered—end of story.",neutral
"The dress fit me like a dream!",positive
"It looked tailored but fit horribly.",negative
"Fit was average, needed slight adjustments.",neutral
"The store staff really knew how to upsell!",positive
"They acted like I was invisible.",negative
"The staff barely made eye contact but completed the sale.",neutral
"Everything looked premium and smelled fresh!",positive
"Garment had a musty odor on arrival.",negative
"No noticeable smell, just fabric.",neutral
"Elegant embroidery—subtle but classy.",positive
"Embroidery threads were tangled and messy.",negative
"Embroidery looked handmade but not professional.",neutral
"Delivery was lightning-fast, got it the next day!",positive
"Item got stuck in transit for 5 days.",negative
"Delivered eventually, not too late.",neutral
"Received compliments the entire evening I wore it.",positive
"Even I didn’t like how it looked on me.",negative
"It looked better in photos than in real life.",neutral
"Packaging felt like a luxury unboxing experience!",positive
"It was just thrown into a plastic bag.",negative
"Simple packaging, nothing too fancy.",neutral
"The sales lady suggested exactly what I needed.",positive
"The staff kept pushing expensive stuff.",negative
"I was left to browse alone—not bad.",neutral
"The lace is soft, and not scratchy at all!",positive
"Lace started fraying after first wear.",negative
"Lace is okay—neither soft nor too rough.",neutral
"Really good price for that level of detailing.",positive
"Totally not worth the hype or price.",negative
"The pricing was fair compared to similar boutiques.",neutral
"The kurta feels light yet rich.",positive
"It feels like curtain cloth stitched into a dress.",negative
"The material isn’t heavy, but also not premium.",neutral
"The neckline is unique and beautifully done.",positive
"The neckline was off-center and weird.",negative
"Neckline was fine, but not impressive.",neutral
"I could live in this outfit—so breathable!",positive
"It was suffocating around the waist.",negative
"Comfortable enough for two hours, then annoying.",neutral
"Fast replies and very polite messages!",positive
"I had to send three emails to get an answer.",negative
"They replied, but not to the actual question.",neutral
"Vibrant color, just as seen online.",positive
"Completely different shade from what I picked.",negative
"Color was close enough, just slightly duller.",neutral
"The mirror work sparkled under lights!",positive
"Mirrors were falling off before I wore it.",negative
"Mirror work was decent but felt delicate.",neutral
"Customer service called to double-check my order.",positive
"No confirmation or shipping updates—poor service.",negative
"I got one update email, nothing after.",neutral
"Fabric stayed perfect even after two washes.",positive
"Material pilled horribly after one wash.",negative
"Fabric quality remains okay after washing.",neutral
"The boutique called to thank me personally!",positive
"No after-sale engagement at all.",negative
"They sent an email after delivery.",neutral
"The inner lining made it super comfortable.",positive
"Lining was missing altogether!",negative
"Lining exists, but it’s too thin to matter.",neutral
"The team kept me updated until delivery.",positive
"Absolutely zero tracking available.",negative
"I had to check the tracking myself daily.",neutral
"The print is artsy and bold!",positive
"Print is faded and blurry.",negative
"Print looked slightly pixelated but passable.",neutral
"The boutique’s staff treated me like royalty!",positive
"Customer care just hung up on me!",negative
"They answered, but felt robotic.",neutral
"The detailing on the sleeves is exquisite.",positive
"One sleeve is shorter than the other!",negative
"Sleeves are stitched fine, but boring design.",neutral
"Shopping online here felt like a breeze.",positive
"The checkout page kept glitching!",negative
"Site was slow but worked eventually.",neutral
"The quality check was spot on—no flaws!",positive
"Quality control missed a torn seam.",negative
"Minor issue, but overall fine.",neutral
"The boutique has gained a loyal customer in me!",positive
"I’ll never shop from here again.",negative
"Would I shop again? Maybe.",neutral
"Every hemline was perfectly stitched.",positive
"Crooked hem ruined the entire outfit.",negative
"Hemline was okay, not noticeable.",neutral
"They offer great combos and styling tips.",positive
"They don’t even match accessories well.",negative
"Suggestions were basic but helpful.",neutral
"The dupatta was the highlight—so gorgeous!",positive
"The dupatta color didn’t match the set.",negative
"Dupatta was plain—not too flashy.",neutral




